key,ru,en
Настройки,Настройки,Settings
Ранг:,Ранг:,Rank:
Бронза 1,Бронза 1,Bronze 1
Бронза 2,Бронза 2,Bronze 2
Бронза 3,Бронза 3,Bronze 3
Бронза 4,Бронза 4,Bronze 4
Бронза 5,Бронза 5,Bronze 5
Серебро 1,Серебро 1,Silver 1
Серебро 2,Серебро 2,Silver 2
Серебро 3,Серебро 3,Silver 3
Серебро 4,Серебро 4,Silver 4
Серебро 5,Серебро 5,Silver 5
Железо 1,Железо 1,Iron 1
Железо 2,Железо 2,Iron 2
Железо 3,Железо 3,Iron 3
Железо 4,Железо 4,Iron 4
Железо 5,Железо 5,Iron 5
Золото 1,Золото 1,Gold 1
Золото 2,Золото 2,Gold 2
Золото 3,Золото 3,Gold 3
Золото 4,Золото 4,Gold 4
Золото 5,Золото 5,Gold 5
Платина 1,Платина 1,Platinum 1
Платина 2,Платина 2,Platinum 2
Платина 3,Платина 3,Platinum 3
Платина 4,Платина 4,Platinum 4
Платина 5,Платина 5,Platinum 5
Даймонд 1,Даймонд 1,Diamond 1
Даймонд 2,Даймонд 2,Diamond 2
Даймонд 3,Даймонд 3,Diamond 3
Даймонд 4,Даймонд 4,Diamond 4
Даймонд 5,Даймонд 5,Diamond 5
Легенда,Легенда,Legend
Быстрая игра,Быстрая игра,Quick game
главная,Главная,Main
Сервера,Сервера,Servers
Инвентарь,Инвентарь,Inventory
Магазин,Магазин,Shop
Создать комнату,Создать комнату,Create room
Карта,Карта,Map
Режим,Режим,Mode
Игроков,Игроки,Players
Подключиться,Подключиться,Connect
Сервер,Сервер,Server
Название комнаты,Название комнаты,Room name
Пароль,Пароль,Password
Чуствительность мыши:,Чувствительность управления:,Control Sensitivity:
Язык:,Язык:,Language:
Общая громкость:,Общая громкость:,Master Volume:
Громкость музыки:,Громкость музыки:,Music Volume:
Громкость эффектов:,Громкость эффектов:,Effects Volume:
Ваше имя...,Ваше имя...,Your name...
Гойда Шутер,Robot's War,Robot's War
Вооружение,Вооружение,Weapons
Скины,Скины,Skins
Пауза,Пауза,Pause
Продолжить,Продолжить,Continue
Выйти,Выйти,Exit
Легендарный,Легендарный,Legendary
Эпический,Эпический,Epic
Редкий,Редкий,Rare
Необычный,Необычный,Uncommon
Колесо Фортуны,Колесо Фортуны,The Wheel of Fortune
Внимание!,Внимание!,Attention!
Принять,Принять,Accept
Не достаточно билетов,Недостаточно билетов,Not enough tickets
Ошибка,Ошибка,Error
Длина названия сервера должна быть между 3 и 16 символами.,Длина названия сервера должна быть между 3 и 16 символами.,The server name must be between 3 and 16 characters long.
Длина пароля должна быть между 4 и 6 символами.,Длина пароля должна быть между 4 и 6 символами.,The password must be between 4 and 6 characters long.
Атака,Атака,Attack
Автоматическая стрельба,Автоматическая стрельба,Automatic shooting
Альт Атака,Альт Атака,Alt Attack
Прицеливание,Прицеливание,Aiming
Урон,Урон,Damage
Обойма,Обойма,Clip
Скорострельность (выстрелов/c),Скорострельность (выстрелов/c),Rate of fire (rounds/sec)
Перезарядка (секунды),Перезарядка (секунды),Recharge time (seconds)
Одиночный выстрел,Одиночный выстрел,Single shot
Урон (1 дробь / макс дробинок),Урон (1 дробь / макс дробинок),Damage (1 shot / max shots)
Слабый бросок,Слабый бросок,Weak throw
Сильный бросок,Сильный бросок,Strong throw
